 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 iter   102 lrate =  1.0000000000 LL =  -2.4848120440 nd =  0.0004772924, D =   0.65883E-02  0.65883E-02  (  1.97 s,   1.0 h)
 iter   103 lrate =  1.0000000000 LL =  -2.4848050748 nd =  0.0004793389, D =   0.65883E-02  0.65883E-02  (  1.85 s,   1.0 h)
 iter   104 lrate =  1.0000000000 LL =  -2.4847981460 nd =  0.0004808669, D =   0.65883E-02  0.65883E-02  (  1.71 s,   0.9 h)
 iter   105 lrate =  1.0000000000 LL =  -2.4847912115 nd =  0.0004821452, D =   0.65883E-02  0.65883E-02  (  1.70 s,   0.9 h)
 iter   106 lrate =  1.0000000000 LL =  -2.4847843911 nd =  0.0004833444, D =   0.65883E-02  0.65883E-02  (  1.75 s,   0.9 h)
 iter   107 lrate =  1.0000000000 LL =  -2.4847655859 nd =  0.0004682006, D =   0.65950E-02  0.65950E-02  (  1.58 s,   0.8 h)
 iter   108 lrate =  1.0000000000 LL =  -2.4847473826 nd =  0.0004609925, D =   0.65885E-02  0.65885E-02  (  1.57 s,   0.8 h)
 iter   109 lrate =  1.0000000000 LL =  -2.4847296512 nd =  0.0004530529, D =   0.65822E-02  0.65822E-02  (  1.59 s,   0.8 h)
 iter   110 lrate =  1.0000000000 LL =  -2.4847124208 nd =  0.0004467949, D =   0.65752E-02  0.65752E-02  (  1.58 s,   0.8 h)
 iter   111 lrate =  1.0000000000 LL =  -2.4846954769 nd =  0.0004400781, D =   0.65696E-02  0.65696E-02  (  1.57 s,   0.8 h)
 iter   112 lrate =  1.0000000000 LL =  -2.4846789219 nd =  0.0004340583, D =   0.65674E-02  0.65674E-02  (  1.57 s,   0.8 h)
 iter   113 lrate =  1.0000000000 LL =  -2.4846627476 nd =  0.0004283380, D =   0.65647E-02  0.65647E-02  (  1.58 s,   0.8 h)
 iter   114 lrate =  1.0000000000 LL =  -2.4846468258 nd =  0.0004241946, D =   0.65610E-02  0.65610E-02  (  1.57 s,   0.8 h)
 iter   115 lrate =  1.0000000000 LL =  -2.4846312017 nd =  0.0004200868, D =   0.65575E-02  0.65575E-02  (  1.57 s,   0.8 h)
 iter   116 lrate =  1.0000000000 LL =  -2.4846158389 nd =  0.0004164414, D =   0.65547E-02  0.65547E-02  (  1.60 s,   0.8 h)
 iter   117 lrate =  1.0000000000 LL =  -2.4846007212 nd =  0.0004128743, D =   0.65517E-02  0.65517E-02  (  1.58 s,   0.8 h)
 iter   118 lrate =  1.0000000000 LL =  -2.4845859658 nd =  0.0004105850, D =   0.65497E-02  0.65497E-02  (  1.57 s,   0.8 h)
 iter   119 lrate =  1.0000000000 LL =  -2.4845711860 nd =  0.0004088020, D =   0.65488E-02  0.65488E-02  (  1.57 s,   0.8 h)
 iter   120 lrate =  1.0000000000 LL =  -2.4845566059 nd =  0.0004079704, D =   0.65497E-02  0.65497E-02  (  1.63 s,   0.8 h)
 iter   121 lrate =  1.0000000000 LL =  -2.4845420764 nd =  0.0004071285, D =   0.65513E-02  0.65513E-02  (  3.67 s,   1.9 h)
 iter   122 lrate =  1.0000000000 LL =  -2.4845276376 nd =  0.0004073564, D =   0.65521E-02  0.65521E-02  (  2.04 s,   1.1 h)
 iter   123 lrate =  1.0000000000 LL =  -2.4845133063 nd =  0.0004072700, D =   0.65538E-02  0.65538E-02  (  1.88 s,   1.0 h)
 iter   124 lrate =  1.0000000000 LL =  -2.4844989796 nd =  0.0004098632, D =   0.65568E-02  0.65568E-02  (  1.91 s,   1.0 h)
 iter   125 lrate =  1.0000000000 LL =  -2.4844846490 nd =  0.0004131607, D =   0.65589E-02  0.65589E-02  (  1.75 s,   0.9 h)
 iter   126 lrate =  1.0000000000 LL =  -2.4844702389 nd =  0.0004175343, D =   0.65620E-02  0.65620E-02  (  1.58 s,   0.8 h)
 iter   127 lrate =  1.0000000000 LL =  -2.4844556125 nd =  0.0004234633, D =   0.65668E-02  0.65668E-02  (  1.58 s,   0.8 h)
 iter   128 lrate =  1.0000000000 LL =  -2.4844408740 nd =  0.0004311593, D =   0.65722E-02  0.65722E-02  (  1.58 s,   0.8 h)
 iter   129 lrate =  1.0000000000 LL =  -2.4844258785 nd =  0.0004401630, D =   0.65767E-02  0.65767E-02  (  1.57 s,   0.8 h)
 iter   130 lrate =  1.0000000000 LL =  -2.4844104199 nd =  0.0004506358, D =   0.65833E-02  0.65833E-02  (  1.58 s,   0.8 h)
 iter   131 lrate =  1.0000000000 LL =  -2.4843945645 nd =  0.0004623796, D =   0.65918E-02  0.65918E-02  (  1.58 s,   0.8 h)
 iter   132 lrate =  1.0000000000 LL =  -2.4843781681 nd =  0.0004788344, D =   0.66007E-02  0.66007E-02  (  1.57 s,   0.8 h)
 iter   133 lrate =  1.0000000000 LL =  -2.4843609830 nd =  0.0004975018, D =   0.66117E-02  0.66117E-02  (  1.57 s,   0.8 h)
 iter   134 lrate =  1.0000000000 LL =  -2.4843429405 nd =  0.0005169317, D =   0.66233E-02  0.66233E-02  (  1.58 s,   0.8 h)
 iter   135 lrate =  1.0000000000 LL =  -2.4843238680 nd =  0.0005412616, D =   0.66377E-02  0.66377E-02  (  1.57 s,   0.8 h)
 iter   136 lrate =  1.0000000000 LL =  -2.4843036316 nd =  0.0005699834, D =   0.66543E-02  0.66543E-02  (  1.57 s,   0.8 h)
 iter   137 lrate =  1.0000000000 LL =  -2.4842815647 nd =  0.0006021827, D =   0.66744E-02  0.66744E-02  (  1.59 s,   0.8 h)
 iter   138 lrate =  1.0000000000 LL =  -2.4842574905 nd =  0.0006374077, D =   0.66965E-02  0.66965E-02  (  1.58 s,   0.8 h)
 iter   139 lrate =  1.0000000000 LL =  -2.4842311791 nd =  0.0006762922, D =   0.67192E-02  0.67192E-02  (  1.58 s,   0.8 h)
 iter   140 lrate =  1.0000000000 LL =  -2.4842020604 nd =  0.0007168929, D =   0.67447E-02  0.67447E-02  (  1.58 s,   0.8 h)
 iter   141 lrate =  1.0000000000 LL =  -2.4841698272 nd =  0.0007591018, D =   0.67724E-02  0.67724E-02  (  3.67 s,   1.9 h)
 iter   142 lrate =  1.0000000000 LL =  -2.4841342112 nd =  0.0008015105, D =   0.68010E-02  0.68010E-02  (  1.88 s,   1.0 h)
 iter   143 lrate =  1.0000000000 LL =  -2.4840949735 nd =  0.0008403631, D =   0.68319E-02  0.68319E-02  (  1.76 s,   0.9 h)
 iter   144 lrate =  1.0000000000 LL =  -2.4840520672 nd =  0.0008733917, D =   0.68615E-02  0.68615E-02  (  1.60 s,   0.8 h)
 iter   145 lrate =  1.0000000000 LL =  -2.4840059428 nd =  0.0009001515, D =   0.68869E-02  0.68869E-02  (  1.57 s,   0.8 h)
